,Number,Gender,NameSet,GivenName,Surname,StreetAddress,City,StateFull,ZipCode,CountryFull,EmailAddress,TelephoneNumber,Birthday,Age,Occupation,Company,Vehicle,BloodType,Kilograms,FeetInches,CrimeType,Area,Crime by Area
2475,2476,male,American,Maria,Dickens,4369 Gorham Street,London,Ontario,N0N 0N0,Canada,ArtRDickens@einrot.com,519-661-6582,10-09-1983,39,Marble setter,EXPO Design Center,2015 Toyota Tacoma,O+,102.1,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Central,41
2476,2477,female,American,Michael,Helm,3865 Front Street,Toronto,Ontario,M5J 2N1,Canada,IrisWHelm@cuvox.de,416-930-4308,11/15/1987,35,Civil service clerk,Sistemos,1992 Rolls-Royce Silver Spirit,A+,83.4,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,645
2477,2478,female,American,Enoch,Bates,4161 Alaska Hwy,Tumbler Ridge,British Columbia,V0C 2W0,Canada,FelicitasABates@rhyta.com,250-242-1118,3/14/1994,28,Radio and telecommunications equipment installer,Thompson,2005 BMW 545,O+,99.0,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,35
2478,2479,female,American,Harry,Sharer,4731 Baker Street,London,Ontario,N0N 0N0,Canada,EvelynJSharer@gustr.com,519-719-7409,3/29/1993,29,Library assistant,Sound Advice,2009 Fiat Idea,O+,61.0,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),Oakville,845
2479,2480,male,American,Edward,Perez,2209 Main St,Sedley,Saskatchewan,S0G 4K0,Canada,DennisHPerez@einrot.com,306-885-0215,01-10-1980,43,Conference interpreter,Sound Advice,2008 Renault Laguna,B+,97.9,"5' 11""",Offence Against a Person,The West End,98
2480,2481,male,American,William,Hamm,4807 Tanner Street,Vancouver,British Columbia,V5R 2T4,Canada,JackKHamm@cuvox.de,604-438-4949,10/22/1975,47,Executive housekeeper,Quality Event Planner,2004 GMC Sonoma,A+,92.4,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Central,47
2481,2482,female,American,Rosalie,Terry,357 Reserve St,Brighton,Ontario,K0K 1H0,Canada,MaryCTerry@gustr.com,613-475-5435,7/15/2000,22,Surveyor,Tee Town,2010 Rolls-Royce Phantom,O+,75.4,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,645
2482,2483,male,American,Steve,Baron,1554 Venture Place,Athabasca,Alberta,T0G 0B0,Canada,GregoryHBaron@cuvox.de,780-675-2559,04-07-1977,45,Office helper,Specialty Restaurant Group,2004 Proton 400,A+,77.7,"5' 11""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,193
2483,2484,male,American,Lester,Macdonald,3865 Nelson Street,Manitouwadge,Ontario,P0T 2C0,Canada,GeorgeLMacdonald@armyspy.com,807-872-2675,3/26/1981,41,Asbestos abatement worker,The Serendipity Dip,2007 Maserati GT,A+,109.1,"5' 9""",Offence Against a Person,Oakville,8
2484,2485,male,American,Al,Smith,694 rue Saint-Antoine,Drummondville,Quebec,J2C 4N1,Canada,WillieNSmith@einrot.com,819-850-3491,09-03-1988,34,Sewing machine operator,Multi Tech Development,2011 Renault Laguna,O+,67.6,"5' 6""",Break and Enter Residential/Other,Central,193
2485,2486,male,American,Michael,Loveland,2122 Cork St,Guelph,Ontario,N1H 2W8,Canada,HoracioMLoveland@rhyta.com,519-827-7522,05-07-2000,22,Dividend clerk,Media Play,2005 Chevrolet Venture,O-,109.4,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),Oakville,787
2486,2487,male,American,Salvatore,Miller,4716 Montreal Road,Ottawa,Ontario,K1L 6C7,Canada,WardMMiller@dayrep.com,613-745-2239,9/25/1977,45,Dental laboratory technician,Circuit City,2007 Dodge Caravan,A+,77.3,"5' 7""",Break and Enter Commercial,South Vancouver,35
2487,2488,female,American,Terry,Shore,3982 St. John Street,Cudworth,Saskatchewan,S4P 3Y2,Canada,DebraHShore@cuvox.de,306-256-9229,06-10-1991,31,Real estate broker,Balanced Fortune,1996 Ginetta G27,A-,52.3,"5' 8""",Vehicle Collision or Pedestrian Struck (with Injury),Mount Pleasant,2198
2488,2489,female,American,Eddie,Lau,2564 Bay Street,Toronto,Ontario,M5J 2R8,Canada,MariaNLau@cuvox.de,647-896-9758,07-04-1982,40,Vocational education teacher,Forest City,2015 Nissan Rogue Select,O+,75.4,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,5
2489,2490,male,American,Peter,Enriquez,3875 Montreal Road,Ottawa,Ontario,K1L 6C7,Canada,NathanielSEnriquez@einrot.com,613-745-3089,03-09-1994,28,Textile presser,Profitpros,2005 MG ZT,O+,70.1,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,2198
2490,2491,male,American,Pedro,Olson,235 Kelvin Road,Freetown,Prince Edward Island,C0B 1L0,Canada,JamesJOlson@rhyta.com,902-887-5377,8/22/2000,22,News camera operator,McDuff,2000 Volkswagen Caddy,A+,94.4,"6' 0""",Break and Enter Residential/Other,Central,7
2491,2492,male,American,Paul,Long,3622 Eglinton Avenue,Toronto,Ontario,M4P 1A6,Canada,JamesLLong@einrot.com,416-710-2068,6/22/1996,26,Building manager,Frame Scene,2008 Mitsubishi Endeavor,O+,96.1,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),Central,41
2492,2493,female,American,William,Smith,2785 Eglinton Avenue,Toronto,Ontario,M4P 1A6,Canada,JuanitaLSmith@einrot.com,416-554-9994,1/17/1986,37,Applications programmer,De-Jaiz Mens Clothing,2009 Ford GT,B+,59.5,"5' 3""",Vehicle Collision or Pedestrian Struck (with Injury),Oakville,787
2493,2494,male,American,Adrian,Smith,3782 rue des Églises Est,Val David,Quebec,J0T 2N0,Canada,ToddDSmith@teleworm.us,819-322-2119,09-01-1992,30,Telecommunications equipment repairer,Gas Legion,1992 Volvo 240,O+,90.4,"6' 2""",Offence Against a Person,Oakville,787
2494,2495,female,American,Ron,Flowers,5 Eglinton Avenue,Toronto,Ontario,M4P 1A6,Canada,JamieHFlowers@superrito.com,647-209-4093,08-09-1979,43,Public safety dispatcher,Carl Durfees,1999 Noble M10,O-,93.2,"5' 4""",Break and Enter Residential/Other,The West End,9
2495,2496,female,American,Donald,Goodwin,567 Royal Avenue,New Westminster,British Columbia,V3L 5H1,Canada,MaeBGoodwin@rhyta.com,778-889-2617,11-01-1983,39,General and operations manager,Gamble-Skogmo,2003 TVR Speed 12,B+,99.1,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,100
2496,2497,female,American,Danny,Carter,2220 rue Garneau,Quebec,Quebec,G1V 3V5,Canada,NancyRCarter@rhyta.com,418-561-4608,05-07-1983,39,Transportation attendant,Cavages,2007 Skoda Superb,A+,73.7,"5' 8""",Offence Against a Person,Central,98
2497,2498,male,American,Sarah,Gardiner,4622 11th Ave,Calgary,Alberta,T2P 1M6,Canada,GeorgeAGardiner@fleckens.hu,403-508-5550,10/13/1980,42,Veterinarian,Keeney's,2003 Honda Accord,A+,116.2,"6' 1""",Vehicle Collision or Pedestrian Struck (with Injury),Kitsilano,229
2498,2499,male,American,Margarita,Bunch,729 47th Avenue,Tagish,Yukon,Y0B 1T0,Canada,DavidJBunch@armyspy.com,867-660-9931,9/29/1991,31,Chauffeur,Perisolution,1993 Ferrari 456,B+,85.4,"5' 11""",Vehicle Collision or Pedestrian Struck (with Injury),Oakville,193
2499,2500,male,American,Josiah,Fernandez,3202 Rose Street,Regina,Saskatchewan,S4P 3Y2,Canada,ReginaldJFernandez@jourrapide.com,306-949-8557,5/20/1980,42,Journalist,White Tower Hamburgers,1994 Mazda MS-8,O+,91.9,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,33
2500,2501,male,American,Ian,Landaverde,4159 rue des Églises Est,Beaucanton,Quebec,J0Z 1H0,Canada,ClarenceLLandaverde@dayrep.com,819-941-0828,11-01-2002,20,Director,Poore Simon's,2004 Daewoo Matiz,O+,98.9,"6' 3""",Break and Enter Residential/Other,Grandview,53
2501,2502,male,American,Willie,Stanton,4923 Stum Lake Road,Likely,British Columbia,V0L 1N0,Canada,WilliamBStanton@fleckens.hu,250-790-5428,8/21/1980,42,Social work assistant,Dave Cooks,2009 Volvo V70,A+,104.3,"6' 2""",Break and Enter Residential/Other,Kitsilano,41
2502,2503,male,American,Lizzie,Hearne,579 Port Washington Road,Cochrane,Alberta,T0L 0W0,Canada,BillNHearne@fleckens.hu,403-709-5627,03-11-1981,41,Forest fire prevention specialist,Sky High Financial Advice,2000 Mercedes-Benz V,O+,86.8,"5' 8""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,2198
2503,2504,male,American,George,Hathaway,1214 Wascana Parkway,Regina,Saskatchewan,S4S 2R3,Canada,RichardMHathaway@jourrapide.com,306-789-1832,7/16/2003,19,Maintenance electrician,Merrymaking,1998 BMW 740,O+,70.6,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,193
2504,2505,female,American,Valerie,Daugherty,191 137th Avenue,Edmonton,Alberta,T5B 3V4,Canada,LisaWDaugherty@rhyta.com,780-480-6072,2/14/1999,24,Construction engineer,Nutri G,2006 Buick Terraza,A+,59.9,"5' 8""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,98
2505,2506,female,American,Emma,Owens,3420 49th Avenue,Pond Inlet,Nunavut,X0A 0S0,Canada,DorothyHOwens@jourrapide.com,867-899-4644,6/19/1987,35,Employment interviewer,Vitamax Health Food Center,2009 Chevrolet Colorado,O+,53.2,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,2198
2506,2507,male,American,Peter,Bridges,158 Boulevard Cremazie,Quebec,Quebec,G1R 1B8,Canada,MatthewEBridges@gustr.com,418-522-8345,2/25/1972,50,Claims appraiser,Body Fate,2010 BMW 328,B-,105.4,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Mount Pleasant,229
2507,2508,male,American,Melissa,Barret,3002 rue des Érables,Ste Anne Des Monts,Quebec,G4V 1B6,Canada,TimRBarret@armyspy.com,418-764-3430,04-09-1977,45,Staffing coordinator,Blue Boar Cafeterias,2003 Tata Safari,O+,95.7,"6' 1""",Offence Against a Person,South Vancouver,98
2508,2509,female,American,Marilyn,Deleon,1959 Toy Avenue,Oshawa,Ontario,L1H 7K5,Canada,PaulaRDeleon@rhyta.com,289-404-6967,8/31/1981,41,Elevator installer,Friendly Advice,1993 Nissan Serena,A+,75.5,"5' 6""",Mischief,Oakville,645
2509,2510,male,American,Jesse,Mitchell,2299 James Street,Burnaby,British Columbia,V5G 1J9,Canada,RyanCMitchell@einrot.com,604-328-5652,01-03-1998,25,Geriatric nurse,Henry's Hamburgers,1995 Ford Mondeo,O+,80.9,"5' 11""",Vehicle Collision or Pedestrian Struck (with Injury),Mount Pleasant,787
2510,2511,female,American,Ethel,Church,3472 49th Avenue,Rae Lakes,Northwest Territories,X0E 1R0,Canada,KelsieJChurch@rhyta.com,867-997-1489,07-08-2001,21,Personnel training officer,Buttrey Food & Drug,2008 Lancia Phedra,B+,87.7,"5' 4""",Vehicle Collision or Pedestrian Struck (with Injury),Central,845
2511,2512,male,American,Jeremy,Gordon,3126 184th Street,Edmonton,Alberta,T5J 2R4,Canada,DavidSGordon@jourrapide.com,780-446-0380,8/13/1979,43,Mixing and blending machine operator,Super Place,2004 Mazda 2,B+,69.5,"6' 1""",Vehicle Collision or Pedestrian Struck (with Injury),Kitsilano,13
2512,2513,male,American,Ernest,Castillo,947 rue Fournier,St-Jerome,Quebec,J7Z 5T3,Canada,HarryRCastillo@jourrapide.com,450-675-1963,3/20/1984,38,Nephrology nurse,Record & Tape Outlet,1999 Rover 25,A+,108.6,"6' 2""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,787
2513,2514,female,American,Dorothy,Newman,562 Rose Street,Regina,Saskatchewan,S4P 3Y2,Canada,AnnmarieHNewman@jourrapide.com,306-526-7675,6/18/2001,21,Sewage treatment plant operator,Solid Future,2007 Opel Vivaro,O-,52.5,"5' 1""",Break and Enter Residential/Other,West Point Grey,53
2514,2515,female,American,Troy,Sierra,4476 Robson St,Vancouver,British Columbia,V6B 3K9,Canada,MargaritaTSierra@einrot.com,604-650-8835,08-05-1993,29,Welding worker,All Wound Up,2006 Mercedes-Benz SL,A+,90.0,"5' 4""",Break and Enter Commercial,South Granville,41
2515,2516,male,American,Yvette,Self,3252 Weir Crescent,Toronto,Ontario,M1E 3T8,Canada,JuanLSelf@dayrep.com,647-828-4220,9/27/1983,39,Food cooking machine tender,Pender's Food Stores,2011 Ford F-250,O+,76.7,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Oakville,47
2516,2517,female,American,Linda,Creager,2367 Keith Road,North Vancouver,British Columbia,V5T 2C1,Canada,ThuyRCreager@teleworm.us,604-988-6877,6/24/1975,47,Collector,Sampson's,2015 Volvo XC70,A+,101.1,"5' 2""",Vehicle Collision or Pedestrian Struck (with Injury),Oakville,7
2517,2518,female,American,Tyson,Velazquez,305 Barton Street,Stoney Creek,Ontario,L8G 2V1,Canada,KarrenGVelazquez@cuvox.de,905-661-2958,02-01-1995,28,Patient representative,Network Air,2003 Suzuki Grand Vitara,B+,55.9,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),West Point Grey,98
2518,2519,female,American,Nellie,Digregorio,3723 rue Parc,Sherbrooke,Quebec,J1H 5M7,Canada,PatriciaPDigregorio@superrito.com,819-580-7346,3/26/1996,26,Enrollment specialist,Brooks Fashions,2004 Hyundai Getz,A+,67.7,"5' 7""",Break and Enter Residential/Other,Latchford,35
2519,2520,male,American,Matthew,Brodsky,3941 St. Paul Street,St Catharines,Ontario,L2R 7L4,Canada,LarryJBrodsky@dayrep.com,905-933-7060,11-09-1972,50,Long-term care facility nurse,Purity Supreme,2009 Toyota Venza,O+,64.6,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Central,9
2520,2521,male,American,Randall,Hedrick,4781 Ontario St,St Catharines,Ontario,L2N 1S8,Canada,StevenEHedrick@gustr.com,905-329-2520,11/25/1996,26,Prosthetics technician,Sportswest,1999 BMW Breyton,A-,95.5,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,2198
2521,2522,female,American,Laverne,Robinson,1216 Barrydowne Road,Sudbury,Ontario,P3E 5K3,Canada,RachelJRobinson@jourrapide.com,705-233-6646,2/20/1999,24,Elevator constructor,Sammy's Record Shack,1996 Daihatsu Charade,A+,73.9,"5' 1""",Offence Against a Person,Grandview,645
2522,2523,male,American,Peggy,Caudill,2888 Jasper Ave,Edmonton,Alberta,T5J 3N6,Canada,GregoryHCaudill@einrot.com,780-904-6934,2/17/1994,29,Policeman,Chandler's,2001 Beijing BJ 2021,O+,94.8,"5' 10""",Offence Against a Person,The West End,10
2523,2524,male,American,Joe,Deguzman,4691 St. John Street,Ridgedale,Saskatchewan,S4P 3Y2,Canada,TerryTDeguzman@gustr.com,306-277-4109,03-02-2000,22,Optometry doctor,Lawn N' Order Garden Care,2012 Toyota Prius,B+,85.7,"5' 10""",Offence Against a Person,Central,193
2524,2525,male,American,Louis,Mercado,176 Blanshard,Victoria,British Columbia,V8W 2H9,Canada,DallasRMercado@einrot.com,250-858-2929,10-05-2001,21,Material dispatching,Infinite Wealth,2003 Holden Jackaroo,A+,76.8,"5' 7""",Offence Against a Person,Kitsilano,10
2525,2526,female,American,Paul,Lopez,4060 Richmond Road,Calgary,Alberta,T2T 0C6,Canada,JenniferMLopez@gustr.com,403-228-8495,05-11-1985,37,Agricultural worker,Dahlkemper's,2004 Toyota Corolla,B+,70.6,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,8
2526,2527,female,American,Ernest,Lavoie,4616 Burdett Avenue,Victoria,British Columbia,V8Y 1Y7,Canada,JoelPLavoie@rhyta.com,250-658-8766,01-12-2001,22,Spray machine operator,Reliable Guidance,2011 Suzuki SX4,A+,77.1,"5' 1""",Vehicle Collision or Pedestrian Struck (with Injury),Mount Pleasant,33
2527,2528,female,American,Mamie,Daily,4624 Neilson Avenue,Toronto,Ontario,M1M 1V1,Canada,MelissaMDaily@rhyta.com,416-269-6680,08-11-1999,23,Political geographer,Cougar Investment,1997 Kia Clarus,B+,81.5,"5' 4""",Break and Enter Residential/Other,Kitsilano,2198
2528,2529,male,American,Melissa,Kelly,1769 Bellwood Acres Rd,Emsdale,Ontario,P0A 1J0,Canada,AndreaJKelly@einrot.com,705-636-1199,04-04-1999,23,Cartographer,Bold Ideas,2003 Honda Civic,O+,80.4,"5' 6""",Break and Enter Residential/Other,Central,5
2529,2530,female,American,Armando,Harper,3547 Granville St,Halifax,Nova Scotia,B3K 1N7,Canada,DonnaWHarper@gustr.com,902-830-3767,04-05-2001,21,Revenue officer,Stratabiz,2006 Maserati GranSport,B-,76.2,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),Central,8
2530,2531,male,American,Robert,Johnson,1782 Manitoba Street,Bracebridge,Ontario,P1L 2B7,Canada,MarioCJohnson@rhyta.com,705-645-7705,06-12-1974,48,Extruding and forming machine operator,The Serendipity Dip,1999 Cadillac Catera,O+,89.6,"6' 1""",Break and Enter Residential/Other,The West End,35
2531,2532,male,American,Robt,Hiltner,3789 Port Washington Road,Nobleford,Alberta,T0L 1S0,Canada,ThomasTHiltner@dayrep.com,403-824-6475,1/29/1977,46,Land surveyor,Modern Architecture Design,2005 Daewoo Leganza,B+,97.1,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,645
2532,2533,female,American,Annie,Clark,47 Eglinton Avenue,Toronto,Ontario,M4P 1A6,Canada,JessicaRClark@dayrep.com,416-723-2778,8/14/1998,24,Security officer,Pioneer Chicken,1994 Ford Falcon,O-,50.4,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),The West End,726
2533,2534,male,American,Darrick,Maloy,4238 9th Avenue,Tillsonburg,Ontario,N4G 4H2,Canada,GeraldTMaloy@jourrapide.com,519-550-2287,7/18/2001,21,Meter reader,Laura Ashley Mother & Child,2001 Mercury Villager,A+,89.4,"6' 0""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,98
2534,2535,male,American,Kenneth,Scott,4274 Sixth Street,New Westminister,British Columbia,V3L 3C1,Canada,CarmeloJScott@fleckens.hu,604-862-6854,07-01-1983,39,Electromechanical engineering technician,Red Baron Electronics,2011 Renault Scenic,B+,100.0,"5' 8""",Offence Against a Person,Oakville,13
2535,2536,female,American,Jeanette,Vandiver,460 rue Fournier,St Jerome,Quebec,J7Z 4V1,Canada,DianeCVandiver@rhyta.com,450-512-6257,5/20/1973,49,Job service specialist,Lionel Playworld,2007 Mercury Grand Marquis,B-,62.8,"5' 5""",Vehicle Collision or Pedestrian Struck (with Injury),Kitsilano,35
2536,2537,male,American,Otis,Simonds,1494 St. Paul Street,Niagara Falls,Ontario,L2E 4E6,Canada,BrianRSimonds@fleckens.hu,905-371-3393,5/29/1981,41,Computer systems administrator,Carter's Foods,1995 Saab 900,O+,102.2,"6' 2""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,5
2537,2538,male,American,Winifred,Masters,4198 Alaska Hwy,Fort Nelson,British Columbia,V0C 1C0,Canada,GeraldEMasters@fleckens.hu,250-774-6657,01-03-1981,42,Small engine service technician,Cut Above,2002 Chevrolet SSR,B+,82.0,"5' 8""",Break and Enter Commercial,Grandview,2198
2538,2539,male,American,Carla,Park,2523 Robson St,Vancouver,British Columbia,V6B 3K9,Canada,CharlieMPark@rhyta.com,604-661-2887,9/24/1984,38,Administrative support manager,Luskin's,2006 Subaru Outback,A+,75.4,"5' 9""",Mischief,Oakville,787
2539,2540,male,American,Frank,Clarke,3049 Eglinton Avenue,Toronto,Ontario,M4P 1A6,Canada,WarrenCClarke@fleckens.hu,416-541-0490,11-04-2001,21,Undertaker,Kleinhans,2012 Aston Martin Cygnet,O+,69.6,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,193
2540,2541,male,American,Andrew,Moore,4914 Ste. Catherine Ouest,Montreal,Quebec,H3C 3X6,Canada,MatthewMMoore@einrot.com,514-863-3507,2/22/1979,44,Hairstylist,Elm Farm,1995 Alpina B6,B+,90.1,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,9
2541,2542,male,American,Douglas,Holtz,3075 Smith Avenue,Hamilton,Ontario,L9H 1E6,Canada,ConradMHoltz@dayrep.com,905-541-2362,6/30/1982,40,Contract manager,Magik Grey,2002 Chrysler Grand Voyager,A+,76.3,"5' 10""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,229
2542,2543,male,American,David,McAvoy,3524 Victoria Park Ave,Toronto,Ontario,M4A 2M5,Canada,StacyCMcAvoy@armyspy.com,416-759-1505,10/24/1997,25,Border Patrol agent,Linens 'n Things,1999 Citroen Pluriel,A+,87.0,"5' 6""",Mischief,Grandview,787
2543,2544,female,American,Juan,Monteleone,2511 Joseph St,Kincardine,Ontario,N2Z 1Z9,Canada,JamieEMonteleone@fleckens.hu,519-396-7518,05-10-1973,49,Dental surgeon,Heslop's,2009 Pontiac Vibe,B+,58.5,"5' 2""",Mischief,Mount Pleasant,845
2544,2545,male,American,Anthony,Purcell,3432 184th Street,Edmonton,Alberta,T5J 2R4,Canada,TerrySPurcell@fleckens.hu,780-499-9402,04-05-1979,43,Accounts receivable clerk,Sistemos,2003 Vauxhall Signum,B+,108.5,"6' 0""",Break and Enter Commercial,Central,33
2545,2546,female,American,Yan,Harrah,3006 Landon Street,Trout Creek,Ontario,P0H 2L0,Canada,NanciBHarrah@jourrapide.com,705-723-9113,1/30/1997,26,Closing agent,Gemco,1992 Dodge Ram,O+,52.3,"5' 1""",Break and Enter Residential/Other,Oakville,47
2546,2547,male,American,Kenneth,Williams,1683 Reserve St,Cambray,Ontario,K0M 1E0,Canada,FrancisCWilliams@jourrapide.com,705-374-4732,04-09-1977,45,Announcer,Star Merchant Services,1996 Nissan Gloria,A+,88.3,"6' 2""",Mischief,Latchford,41
2547,2548,male,American,Cheryl,Lopez,1190 Reserve St,Picton,Ontario,K0K 2T0,Canada,FrederickCLopez@rhyta.com,613-476-9606,3/30/1994,28,Inside order clerk,Golden Dawn,2009 Ferrari F430,A+,79.8,"6' 3""",Break and Enter Residential/Other,Central,41
2548,2549,male,American,Jim,Cooley,2492 rue des Églises Est,St Emile Du Suffolk,Quebec,J0V 1Y0,Canada,JeffreyDCooley@fleckens.hu,819-426-6968,08-09-2003,19,Welding worker,The White Rabbit,2001 Alfa Romeo GTV,A+,91.7,"6' 0""",Break and Enter Residential/Other,Oakville,33
2549,2550,female,American,William,Folger,1141 Heatherleigh,Cooksville,Ontario,L5A 1V9,Canada,TiffanyHFolger@fleckens.hu,905-306-9298,04-12-1998,24,Media director,Country Club Markets,1992 Lancia Hyena,AB+,84.6,"5' 7""",Break and Enter Residential/Other,Central,2198
2550,2551,female,American,Michael,Elmore,3726 Adelaide St,Toronto,Ontario,M5H 1P6,Canada,GladysDElmore@teleworm.us,416-607-2928,02-12-1985,38,Elevator installer,Richman Brothers,1999 SsangYong Korando,B+,104.0,"5' 7""",Break and Enter Commercial,Mount Pleasant,41
2551,2552,male,American,James,Aylward,690 Horner Ave,Toronto,Ontario,M8W 4Y4,Canada,MichaelYAylward@armyspy.com,416-850-1966,10-07-2001,21,Rodbuster,Adaptaz,2000 Opel Vectra,A+,76.5,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,53
2552,2553,male,American,Michael,Goggin,186 St. John Street,Davidson,Saskatchewan,S4P 3Y2,Canada,JulesMGoggin@superrito.com,306-567-1792,6/27/1979,43,Group exercise instructor,Erb Lumber,2014 Nissan Juke,A+,99.9,"5' 10""",Break and Enter Residential/Other,West Point Grey,726
2553,2554,female,American,Ernest,Miller,4319 Wallbridge Loyalist Rd,Belleville,Ontario,K8N 1L9,Canada,AnaRMiller@jourrapide.com,613-969-3356,4/15/2001,21,Labor economist,Joseph Magnin,1995 Mazda MS-9,B-,80.2,"5' 5""",Break and Enter Residential/Other,South Vancouver,2198
2554,2555,female,American,Jason,Kerr,2756 Glover Road,Fort Langley,British Columbia,V3A 6X5,Canada,SherriAKerr@superrito.com,604-513-6708,5/24/1976,46,Plumbing inspector,The White Swan,1994 Mazda 323,O+,94.9,"5' 1""",Break and Enter Residential/Other,Oakville,8
2555,2556,male,American,Mary,Eldridge,4200 Islington Ave,Toronto,Ontario,M9V 2X5,Canada,RayEEldridge@jourrapide.com,416-741-2058,03-04-1994,28,Dredge operator,Office Warehouse,2011 Ford Focus,O+,92.1,"6' 1""",Break and Enter Residential/Other,The West End,13
2556,2557,male,American,Charles,Chaffin,1068 Blue Rocks Road,Mahone Bay,Nova Scotia,B0J 2C0,Canada,PeterBChaffin@dayrep.com,902-531-0614,9/19/1998,24,Color printer operator,Wilson's Jewelers,2000 Bugatti EB 18-4 Veyron,A+,77.4,"5' 9""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,98
2557,2558,female,American,Antonio,Justice,4956 Lock Street,Galt,Ontario,N1R 3Y8,Canada,KaseyFJustice@einrot.com,519-622-9688,1/13/1983,40,Excavating and loading machine and dragline operator,Yardbirds Home Center,1999 ZAZ Slavuta,O+,79.3,"5' 2""",Mischief,South Granville,645
2558,2559,male,American,Dora,Flores,1557 Acton Avenue,Toronto,Ontario,M3H 4J1,Canada,BarryPFlores@rhyta.com,416-374-9910,07-03-1998,24,IT manager,Littler's,2010 BMW 760,O+,95.9,"5' 11""",Vehicle Collision or Pedestrian Struck (with Injury),Latchford,9
2559,2560,female,American,Jennifer,Felton,3364 St George Street,Vancouver,British Columbia,V5T 1Z7,Canada,ClaudetteAFelton@armyspy.com,604-876-6063,07-06-1992,30,Wildlife officer,Steve & Barry's,2014 Dodge Challenger,B+,67.2,"5' 6""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,645
2560,2561,female,American,Kyle,McKinney,4429 Halsey Avenue,Toronto,Ontario,M3B 2W6,Canada,SarahWMcKinney@armyspy.com,416-386-4240,7/29/1991,31,Mold and model maker,Elm Farm,2003 Tata E,O-,83.6,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),South Vancouver,8
2561,2562,male,American,Sheri,Guzman,3696 Sixth Street,New Westminster,British Columbia,V3L 3C1,Canada,EugeneMGuzman@rhyta.com,604-529-6434,11/24/2000,22,Forensic nurse,Body Toning,2005 BMW M3,B+,61.0,"6' 2""",Vehicle Collision or Pedestrian Struck (with Injury),Central,193
2562,2563,female,American,Michael,Escobedo,3922 Rogers Road,Toronto,Ontario,M6E 1R1,Canada,RosieSEscobedo@dayrep.com,416-652-1497,4/30/1978,44,Infection control nurse,Environ Architectural Design,2001 Ford Crown Victoria,O+,50.3,"5' 1""",Mischief,Oakville,47
2563,2564,male,American,Lydia,Hastings,3963 Robson St,Vancouver,British Columbia,V6B 3K9,Canada,BradleyAHastings@gustr.com,604-443-3159,04-11-1984,38,Amusement machine servicer,Gold Touch,2014 Ford F-250 Super Duty,O+,72.6,"6' 0""",Break and Enter Residential/Other,The West End,53
2564,2565,female,American,Thomas,Nolan,4016 Bay Street,Toronto,Ontario,M5J 2R8,Canada,AngelaPNolan@gustr.com,416-837-0130,8/30/1984,38,Park naturalist,Team Designers and Associates,2012 Acura TL,A+,89.3,"5' 7""",Vehicle Collision or Pedestrian Struck (with Injury),Grandview,35
2565,2566,male,American,Daniel,Harris,4304 Tchesinkut Lake Rd,Houston,British Columbia,V0J 1Z0,Canada,MarvinSHarris@fleckens.hu,250-845-6725,05-10-1995,27,Mortician,Prestigabiz,2002 SsangYong Korando,A+,103.3,"5' 8""",Vehicle Collision or Pedestrian Struck (with Injury),South Granville,787
